Date,Open,High,Low,Close,Volume,Open Interest
15/01/2013,330.65,335.2,329.25,333,4275500,21443000
16/01/2013,330.5,330.7,318.9,320.35,8458000,20275000
17/01/2013,324.6,331.3,324.35,329.4,6801500,21028000
18/01/2013,331,332.5,327,329.3,3622500,20621000
21/01/2013,328.95,330.4,323.6,324.6,3474500,19581000
22/01/2013,325.05,325.05,316.7,319.65,4220000,19300000
23/01/2013,318.5,319.65,310.6,313.55,5860000,17856000
24/01/2013,290.1,296.1,282,292.85,18447000,16859000
25/01/2013,294,303.25,294,300.5,7955000,14874000
28/01/2013,300.35,309.5,300.35,308.2,5413000,14306000
29/01/2013,306.4,315.3,302.4,303.8,7495500,12381000
30/01/2013,301.75,303.55,298.4,299,6384500,8880000
31/01/2013,299,299.7,294.5,297.85,4790500,4864000
01/02/2013,298.6,301.45,270,287.2,10324500,16885000
04/02/2013,295.15,298.2,290.8,292.4,5860000,16617000
05/02/2013,290.15,292.25,286.05,288.8,4340500,16394000
06/02/2013,290.55,291.25,285.15,287.9,3405000,16231000
07/02/2013,287.05,292.25,287.05,289.85,3507000,16422000
08/02/2013,292,295.7,285.5,286.6,4910000,17023000
11/02/2013,289.7,293.2,289.4,291.5,3516000,17149000
12/02/2013,295.3,300.6,292.35,299.25,4953500,18551000
13/02/2013,307.25,312.65,303.5,305.1,8344500,18622000
14/02/2013,305.4,306.5,295.1,297.2,6756000,19977000
15/02/2013,288.1,306.3,287.5,304.7,11583000,20682000
18/02/2013,305.15,308.2,302,306.6,5223000,22086000
19/02/2013,306.65,308.85,304,308.05,3910000,22256000
20/02/2013,308.35,309.75,302.25,304.8,3688500,22145000
21/02/2013,301.1,302.4,296.1,298.1,7313000,20871000
22/02/2013,296.1,297.2,291,293.95,5757000,20222000
25/02/2013,296.95,301.35,295.35,299.6,5582000,17992000
26/02/2013,295.1,296.4,286.35,289.7,7762500,14938000
27/02/2013,291.55,291.55,281.75,286.6,6461500,11232000
