Date,Open,High,Low,Close,Volume,Adj Close
1999-07-13,2.8125,2.875,2.75,2.875,13300,2.284645
1999-07-12,2.625,2.75,2.5625,2.75,17800,2.185313
1999-07-09,2.75,2.75,2.625,2.75,16200,2.185313
1999-07-08,2.75,2.75,2.50,2.5625,10900,2.036314
1999-07-07,2.50,2.50,2.25,2.50,1200,1.986648
1999-07-06,2.50,2.625,2.375,2.375,12700,1.887315
1999-07-02,2.5625,2.625,2.50,2.50,14800,1.986648
1999-07-01,2.5625,2.5625,2.50,2.50,9300,1.986648
1999-06-30,2.625,2.625,2.625,2.625,6000,2.08598
1999-06-29,2.625,2.625,2.5625,2.5625,11800,2.036314
1999-06-28,2.75,2.75,2.50,2.625,14000,2.08598
1999-06-25,2.75,2.75,2.75,2.75,5000,2.185313
1999-06-24,2.5625,2.6875,2.5625,2.6875,41100,2.135646
1999-06-23,2.4375,2.50,2.4375,2.50,1500,1.986648
1999-06-22,2.50,2.5625,2.50,2.5625,17900,2.036314
1999-06-21,2.50,2.50,2.4375,2.50,27000,1.986648
1999-06-18,2.50,2.50,2.375,2.375,4000,1.887315
1999-06-17,2.50,2.50,2.4375,2.4375,16900,1.936982
1999-06-16,2.5625,2.625,2.50,2.50,20900,1.986648
1999-06-15,2.5625,2.625,2.50,2.5625,6400,2.036314
1999-06-14,2.3125,2.625,2.3125,2.50,16300,1.986648
1999-06-11,2.5625,2.5625,2.25,2.4375,23800,1.936982
1999-06-10,2.4375,2.625,2.4375,2.50,27600,1.986648
1999-06-09,2.625,2.625,2.5625,2.5625,15000,2.036314
1999-06-08,2.875,2.875,2.50,2.5625,25900,2.036314
1999-06-07,2.75,2.875,2.75,2.75,10300,2.185313
1999-06-04,2.875,2.9375,2.8125,2.9375,21500,2.334311
1999-06-03,2.875,2.9375,2.625,2.875,30200,2.284645
1999-06-02,2.75,2.75,2.5625,2.75,10100,2.185313
1999-06-01,2.875,2.875,2.8125,2.8125,24400,2.234979
1999-05-28,2.6875,2.875,2.6875,2.875,10300,2.284645
1999-05-27,2.875,2.875,2.5625,2.75,8900,2.185313
1999-05-26,2.875,2.875,2.875,2.875,1900,2.284645
1999-05-25,3.00,3.00,2.8125,2.875,14200,2.284645
1999-05-24,3.00,3.00,2.9375,2.9375,26700,2.334311
1999-05-21,3.00,3.125,2.9375,3.00,41500,2.383977
1999-05-20,2.9375,3.00,2.875,2.9375,28900,2.334311
1999-05-19,2.9375,3.00,2.875,2.9375,39700,2.334311
1999-05-18,2.9375,3.00,2.8125,2.875,26500,2.284645
1999-05-17,2.75,2.8125,2.6875,2.8125,29600,2.234979
1999-05-14,2.1875,2.625,2.1875,2.50,37700,1.986648
1999-05-13,2.8125,2.8125,2.25,2.3125,46100,1.837649
1999-05-12,2.875,2.875,2.6875,2.8125,61600,2.234979
1999-05-11,2.625,2.9375,2.625,2.875,84300,2.284645
1999-05-10,2.25,3.00,2.125,2.50,238500,1.986648
1999-05-07,1.8125,2.25,1.8125,2.1875,144200,1.738317
1999-05-06,1.875,1.9375,1.8125,1.9375,27200,1.539652
1999-05-05,1.8125,1.875,1.625,1.8125,4800,1.44032
1999-05-04,1.625,1.875,1.625,1.8125,22300,1.44032
1999-05-03,1.625,1.625,1.625,1.625,600,1.291321
1999-04-30,1.625,1.625,1.625,1.625,4700,1.291321
1999-04-29,1.5625,1.625,1.5625,1.625,21100,1.291321
1999-04-28,1.625,1.625,1.625,1.625,700,1.291321
1999-04-27,1.50,1.5625,1.50,1.5625,500,1.241655
1999-04-26,1.50,1.5625,1.4375,1.50,5800,1.191989
1999-04-23,1.5625,1.5625,1.5625,1.5625,2500,1.241655
1999-04-22,1.625,1.625,1.375,1.50,12300,1.191989
1999-04-21,1.5625,1.5625,1.5625,1.5625,11800,1.241655
1999-04-20,1.5625,1.625,1.5625,1.5625,63900,1.241655
1999-04-19,1.625,1.625,1.5625,1.5625,11700,1.241655
1999-04-16,1.5625,1.625,1.5625,1.625,300,1.291321
1999-04-15,1.625,1.625,1.5625,1.5625,7700,1.241655
1999-04-14,1.6875,1.6875,1.625,1.625,13500,1.291321
1999-04-13,1.5625,1.625,1.5625,1.5625,8500,1.241655
1999-04-12,1.625,1.625,1.625,1.625,400,1.291321
1999-04-09,1.5625,1.625,1.5625,1.625,14500,1.291321
1999-04-08,1.5625,1.5625,1.5625,1.5625,5600,1.241655
1999-04-07,1.375,1.50,1.375,1.50,32200,1.191989
1999-04-06,1.50,1.50,1.375,1.50,14600,1.191989
1999-04-05,1.625,1.625,1.625,1.625,3200,1.291321
1999-04-01,1.625,1.625,1.50,1.50,6800,1.191989
1999-03-31,1.625,1.625,1.50,1.50,7800,1.191989
1999-03-30,1.625,1.625,1.50,1.50,19600,1.191989
1999-03-29,1.625,1.6875,1.50,1.6875,6000,1.340987
1999-03-26,1.375,1.5625,1.375,1.50,93900,1.191989
1999-03-25,1.25,1.4375,1.25,1.4375,81200,1.142323
1999-03-24,1.25,1.3125,1.25,1.25,64000,0.993324
1999-03-23,1.25,1.25,1.25,1.25,12500,0.993324
1999-03-22,1.25,1.25,1.25,1.25,1300,0.993324
1999-03-19,1.1875,1.25,1.1875,1.1875,27000,0.943658
1999-03-18,1.1875,1.1875,1.0625,1.1875,13400,0.943658
1999-03-17,1.125,1.125,1.125,1.125,6800,0.893992
1999-03-16,1.125,1.125,1.125,1.125,300,0.893992
1999-03-15,1.125,1.125,1.0625,1.125,6300,0.893992
1999-03-12,1.125,1.125,1.125,1.125,000,0.893992
1999-03-11,1.125,1.1875,1.125,1.125,7600,0.893992
1999-03-10,1.0625,1.125,1.0625,1.125,16400,0.893992
1999-03-09,1.0625,1.125,0.9375,0.9375,11400,0.744993
1999-03-08,1.0625,1.0625,1.00,1.00,4600,0.794659
1999-03-05,1.00,1.00,1.00,1.00,1200,0.794659
1999-03-04,1.125,1.125,1.00,1.00,1900,0.794659
1999-03-03,1.125,1.125,1.125,1.125,6000,0.893992
1999-03-02,1.00,1.00,1.00,1.00,000,0.794659
1999-03-01,1.00,1.00,1.00,1.00,2000,0.794659
1999-02-26,1.00,1.00,0.9375,1.00,17300,0.794659
1999-02-25,1.1875,1.1875,1.00,1.00,8900,0.794659
